region,signal_date,future_date,ticker,display_ticker,company,industry_model_class,lifecycle_stage,label,close,future_close,future_return,peer_return,benchmark_return,ttm_pe,forward_pe,ev_to_ebitda,ps,pb,implied_cagr,current_cagr,revenue_growth,data_status,note
TW,2025-05-29,2025-11-28,3661,3661.TW,世芯-KY,ASIC design / IP服務,已獲利成長 / 專案型高波動,過熱,2810.0,3305,0.176157,0.176157,0,34.0,,,,5.47,0.22259042282806007,0.6665583090293219,,complete,point-in-time signal；future fields only used as validation outcome。
TW,2025-06-30,2025-12-31,3661,3661.TW,世芯-KY,ASIC design / IP服務,已獲利成長 / 專案型高波動,過熱,3095.0,3510,0.134087,0.144,-0.009913,37.5,,,,6.02,0.2476857034017249,0.25259002883975,,complete,point-in-time signal；future fields only used as validation outcome。
TW,2025-07-31,2026-01-30,3661,3661.TW,世芯-KY,ASIC design / IP服務,已獲利成長 / 專案型高波動,極度過熱 / priced for perfection,3885.0,3125,-0.195624,0.720526,-0.91615,47.1,,,,7.57,0.307880057779779,0.1562906081569384,,complete,point-in-time signal；future fields only used as validation outcome。
TW,2025-08-29,2026-03-31,3661,3661.TW,世芯-KY,ASIC design / IP服務,已獲利成長 / 專案型高波動,極度過熱 / priced for perfection,4055.0,2485,-0.387176,0.357706,-0.744882,49.2,,,,7.9,0.31969757978139224,0.11337323101291696,,complete,point-in-time signal；future fields only used as validation outcome。
TW,2025-09-30,2026-03-31,3661,3661.TW,世芯-KY,ASIC design / IP服務,已獲利成長 / 專案型高波動,極度過熱 / priced for perfection,3465.0,2485,-0.282828,0.374376,-0.657204,43.7,,,,7.4,0.287807621541354,-0.008917089292908575,,complete,point-in-time signal；future fields only used as validation outcome。
TW,2025-10-31,,3661,3661.TW,世芯-KY,ASIC design / IP服務,已獲利成長 / 專案型高波動,極度過熱 / priced for perfection,3495.0,,,,,44.2,,,,7.47,0.2908372057757166,-0.012878595225887302,,future_window_pending,point-in-time signal；future fields only used as validation outcome。
TW,2025-11-28,,3661,3661.TW,世芯-KY,ASIC design / IP服務,已獲利成長 / 專案型高波動,極度過熱 / priced for perfection,3305.0,,,,,45.0,,,,7.07,0.2956271912609386,-0.13034040544082126,,future_window_pending,point-in-time signal；future fields only used as validation outcome。
TW,2025-12-31,,3661,3661.TW,世芯-KY,ASIC design / IP服務,已獲利成長 / 專案型高波動,極度過熱 / priced for perfection,3510.0,,,,,48.0,,,,6.99,0.31299598444173904,-0.11947770015381287,,future_window_pending,point-in-time signal；future fields only used as validation outcome。
TW,2026-01-30,,3661,3661.TW,世芯-KY,ASIC design / IP服務,已獲利成長 / 專案型高波動,極度過熱 / priced for perfection,3125.0,,,,,42.7,,,,6.23,0.2816630623507196,-0.10609883778409768,,future_window_pending,point-in-time signal；future fields only used as validation outcome。
TW,2026-02-26,,3661,3661.TW,世芯-KY,ASIC design / IP服務,已獲利成長 / 專案型高波動,極度過熱 / priced for perfection,3490.0,,,,,47.7,,,,6.95,0.3112993839168924,-0.09732105210341668,,future_window_pending,point-in-time signal；future fields only used as validation outcome。
