region,ticker,display_ticker,company,industry_model_class,valuation_basis,current_multiple,own_history_mid,peer_history_mid,fair_mid,fair_low,fair_high,valuation_gap_pct,history_months,data_status,note
TW,3661,3661.TW,世芯-KY,ASIC design / IP服務,PE,60.2,44.6,34,39.3,41.4,47.775,0.531807,12,complete,50%自身歷史 + 50%同業分布
TW,3443,3443.TW,創意,ASIC design / IP服務,PE,151.4,69.5,34,51.75,48.55,91.1,1.925604,12,complete,50%自身歷史 + 50%同業分布
TW,2454,2454.TW,聯發科,ASIC design / IP服務,PE,39.7,21.1,34,27.55,19.8,23.525,0.441016,12,complete,50%自身歷史 + 50%同業分布
TW,2379,2379.TW,瑞昱,ASIC design / IP服務,PE,18.8,16.55,34,25.275,16.1,17.2,-0.256182,12,complete,50%自身歷史 + 50%同業分布
TW,2330,2330.TW,台積電,Foundry / 先進封裝,PE,32.2,24.4,20.55,22.475,22.5,28.85,0.432703,12,complete,50%自身歷史 + 50%同業分布
TW,2303,2303.TW,聯電,Foundry / 先進封裝,PE,23.3,14.55,20.55,17.55,13.1,18.175,0.327635,12,complete,50%自身歷史 + 50%同業分布
TW,3711,3711.TW,日月光投控,封測 / 測試 / 測試介面,PE,52.4,30.15,27.9,29.025,19.6,38.475,0.80534,12,complete,50%自身歷史 + 50%同業分布
TW,6239,6239.TW,力成,封測 / 測試 / 測試介面,PE,27.8,23.7,27.9,25.8,16.675,27.425,0.077519,12,complete,50%自身歷史 + 50%同業分布
TW,2449,2449.TW,京元電子,封測 / 測試 / 測試介面,PE,33.6,25.05,27.9,26.475,16.425,30.575,0.269122,12,complete,50%自身歷史 + 50%同業分布
TW,6257,6257.TW,矽格,封測 / 測試 / 測試介面,PE,29.5,19.8,27.9,23.85,16.425,24.3,0.236897,12,complete,50%自身歷史 + 50%同業分布
TW,3264,3264.TW,欣銓,封測 / 測試 / 測試介面,PE,33.7,20.15,27.9,24.025,17.275,31.4,0.402706,12,complete,50%自身歷史 + 50%同業分布
